config,accuracy,weighted_f1,macro_f1,uar,best_val_f1,epochs_trained,model_type,filters,dropout,lr,augmented
cnn_9,0.5829145728643216,0.5804891150519969,0.5946433751835727,0.6033411315633921,0.7942993820758546,74,freq_aware,"[32, 64, 128]",0.3,0.001,True
cnn_4,0.5527638190954773,0.5501304553020848,0.5595754887202177,0.5856943973231604,0.5862836544465473,52,standard,"[32, 64, 128]",0.5,0.001,False
cnn_5,0.5879396984924623,0.5907003645983161,0.602484470242285,0.5852273007460067,0.5845473742757875,31,standard,"[32, 64, 128, 256]",0.3,0.0005,False
cnn_6,0.5812395309882747,0.580827196709561,0.5854337073666502,0.5766439414000807,0.620570966787015,44,standard,"[32, 64, 128]",0.3,0.001,True
cnn_8,0.5142378559463987,0.4874927397548549,0.5193683303398213,0.5637306000714709,0.5085602864177559,26,residual,"[32, 64, 128]",0.3,0.001,True
cnn_10,0.5661641541038526,0.5674662559601947,0.5744283942094581,0.5615506636539728,0.7576612586338616,100,deep_head,"[32, 64, 128]",0.3,0.001,True
cnn_7,0.542713567839196,0.5450727984924936,0.5515617289429744,0.5326238799380366,0.7500667490253583,100,gap,"[32, 64, 128]",0.3,0.001,True
cnn_3,0.52428810720268,0.494637626509826,0.5134009955247307,0.5303950671741301,0.5364377411687731,30,standard,"[64, 128, 256]",0.3,0.001,False
cnn_2,0.541038525963149,0.5437430234161953,0.5526163165812001,0.5302604530349833,0.5974321590088739,58,standard,"[32, 64, 128]",0.3,0.001,False
cnn_1,0.5041876046901173,0.49370172547087726,0.5059407101032174,0.5283630748084356,0.46928849077031837,14,standard,"[32, 64]",0.3,0.001,False
